,experiment,hour,date,device_make,browser,aware
579,0,13,4,13,1,0
580,1,7,2,13,2,0
581,1,13,2,66,7,0
582,0,5,2,2,2,0
583,1,12,5,13,1,1
584,0,17,6,13,1,1
585,1,8,3,66,2,0
586,0,9,1,13,1,0
587,0,18,5,13,1,0
588,0,17,5,13,1,1
589,1,13,7,44,2,0
590,1,14,4,68,7,0
591,1,18,6,13,1,0
592,1,5,3,48,7,0
593,0,21,2,13,1,0
594,0,15,5,13,1,1
595,0,15,0,13,1,0
596,1,9,4,13,1,1
597,1,9,0,13,1,0
598,0,0,4,13,1,0
599,1,11,6,33,2,0
600,1,22,5,75,4,0
601,0,15,7,42,7,1
602,0,15,0,50,2,0
603,0,15,2,13,1,1
604,1,13,5,13,1,0
605,1,6,1,34,2,0
606,0,7,7,13,1,0
607,0,15,0,13,1,0
608,1,10,1,69,4,1
609,1,14,6,13,1,0
610,0,19,5,13,1,1
611,0,15,0,13,1,1
612,1,6,2,13,1,1
613,0,15,0,13,1,0
614,0,18,5,43,7,1
615,1,2,3,13,1,1
616,1,14,7,13,4,1
617,1,8,0,62,2,1
618,1,10,6,13,1,0
619,1,16,5,13,1,1
620,1,3,5,13,1,0
621,1,5,5,114,5,0
622,1,12,6,13,1,0
623,0,6,1,68,4,1
624,0,9,3,13,1,0
625,0,0,7,66,4,0
626,0,20,6,13,1,1
627,1,7,7,13,1,0
628,1,7,7,15,1,1
629,0,16,5,64,2,1
630,0,15,0,13,1,1
631,1,16,2,13,1,1
632,1,15,7,13,1,1
633,1,10,3,19,2,1
634,1,1,7,13,1,0
635,1,9,0,0,2,1
636,1,14,7,94,7,0
637,1,14,1,13,1,0
638,1,18,6,81,7,1
639,1,14,1,13,1,0
640,0,15,0,46,7,0
641,0,15,0,93,2,0
642,1,5,6,13,1,0
643,1,1,7,13,1,0
644,0,7,2,13,1,1
645,1,7,2,13,1,0
646,0,15,5,47,7,0
647,1,18,5,13,1,0
648,1,10,1,21,1,1
649,1,20,5,13,1,1
650,1,10,1,13,1,0
651,1,22,5,13,1,1
652,1,9,1,48,7,0
653,1,9,4,61,7,0
654,0,21,6,13,1,1
655,1,4,4,13,1,0
656,1,15,5,24,1,1
657,0,13,6,77,2,0
658,0,15,0,48,4,1
659,1,5,0,13,1,1
660,0,15,0,72,7,0
661,1,10,0,9,2,0
662,1,5,3,13,1,0
663,1,10,2,19,2,0
664,0,11,1,13,1,0
665,1,15,6,13,2,1
666,1,15,7,13,1,1
667,0,15,0,13,1,0
668,1,1,3,13,1,0
669,0,15,0,13,1,0
670,1,4,2,13,1,0
671,0,15,0,13,1,0
672,1,5,5,13,1,1
673,1,14,5,13,1,1
674,0,15,0,68,2,0
675,1,9,0,43,2,1
676,0,15,0,13,1,1
677,0,10,4,22,2,0
678,1,12,5,59,2,0
679,0,15,0,13,1,1
680,1,14,4,13,1,1
681,1,1,6,13,1,0
682,1,4,3,13,1,0
683,1,10,1,1,2,0
684,1,1,7,58,2,0
685,0,4,4,13,1,0
686,1,12,4,13,1,1
687,0,20,5,13,1,0
688,0,4,6,13,1,1
689,0,4,1,13,1,0
690,1,0,7,13,2,1
691,0,14,7,114,6,0
692,1,12,7,13,1,0
693,1,7,5,47,2,0
694,0,14,6,13,1,1
695,0,15,7,68,4,1
696,0,12,6,66,4,1
697,0,7,2,74,4,1
698,0,7,7,13,2,0
699,0,12,1,114,5,0
700,1,21,4,13,1,0
701,1,17,4,50,2,0
702,0,15,0,75,4,0
703,1,19,5,13,2,0
704,1,21,4,42,4,1
705,0,15,0,23,4,0
706,1,6,1,13,1,0
707,1,11,1,66,2,1
708,1,11,1,13,1,0
709,0,22,1,21,4,1
710,0,1,6,83,7,1
711,1,16,6,69,7,0
712,1,14,1,88,2,1
713,1,18,5,26,1,1
714,1,20,4,13,1,1
715,0,2,2,13,1,0
716,0,15,0,13,1,0
717,1,4,2,13,1,0
718,1,19,1,13,1,1
719,0,17,1,13,1,1
720,0,8,7,64,2,1
721,1,7,7,13,1,0
722,0,15,0,68,4,0
723,0,1,3,114,5,0
724,0,15,0,13,1,1
725,1,2,7,13,1,0
726,0,15,0,13,1,1
727,0,1,6,13,1,0
728,0,1,6,20,1,1
729,1,5,4,13,1,0
730,1,17,5,61,2,1
731,1,3,6,13,1,0
732,1,14,4,46,7,0
733,1,18,5,13,1,1
734,0,15,0,68,4,0
735,1,20,5,13,1,1
736,0,4,3,13,1,1
737,1,20,5,13,1,0
